,0
pima_bayesian_md10,0.574-0.023
pima_bayesian_md20,0.553-0.021
indian_liver_bayesian_md5,0.806-0.045
indian_liver_bayesian_md10,0.81-0.045
indian_liver_bayesian_md20,0.803-0.052
parkinsons_bayesian_md5,0.862-0.029
parkinsons_bayesian_md10,0.867-0.02
parkinsons_bayesian_md20,0.86-0.034
mammographic_masses_bayesian_md5,0.803-0.021
mammographic_masses_bayesian_md10,0.803-0.027
mammographic_masses_bayesian_md20,0.802-0.028
thoracic_surgery_bayesian_md5,0.0-0.0
thoracic_surgery_bayesian_md10,0.0-0.0
thoracic_surgery_bayesian_md20,0.0-0.0
diabetic_retionapaty_bayesian_md5,0.662-0.025
diabetic_retionapaty_bayesian_md10,0.633-0.054
diabetic_retionapaty_bayesian_md20,0.655-0.046
thyroid_recurrence_bayesian_md5,0.818-0.191
thyroid_recurrence_bayesian_md10,0.816-0.183
thyroid_recurrence_bayesian_md20,0.785-0.163
blood_transfusion_bayesian_md5,0.862-0.004
blood_transfusion_bayesian_md10,0.816-0.098
blood_transfusion_bayesian_md20,0.847-0.031
law_bayesian_md5,0.943-0.002
law_bayesian_md10,0.943-0.002
law_bayesian_md20,0.942-0.001
wiscosin_knn_md5,0.917-0.036
wiscosin_knn_md10,0.932-0.021
wiscosin_knn_md20,0.919-0.028
pima_knn_md5,0.599-0.056
pima_knn_md10,0.573-0.055
pima_knn_md20,0.553-0.039
indian_liver_knn_md5,0.819-0.042
indian_liver_knn_md10,0.81-0.046
indian_liver_knn_md20,0.811-0.038
parkinsons_knn_md5,0.874-0.034
parkinsons_knn_md10,0.873-0.033
parkinsons_knn_md20,0.873-0.045
mammographic_masses_knn_md5,0.795-0.022
mammographic_masses_knn_md10,0.807-0.026
mammographic_masses_knn_md20,0.8-0.028
thoracic_surgery_knn_md5,0.0-0.0
thoracic_surgery_knn_md10,0.0-0.0
thoracic_surgery_knn_md20,0.025-0.05
diabetic_retionapaty_knn_md5,0.668-0.026
diabetic_retionapaty_knn_md10,0.644-0.04
diabetic_retionapaty_knn_md20,0.631-0.026
thyroid_recurrence_knn_md5,0.82-0.188
thyroid_recurrence_knn_md10,0.777-0.158
thyroid_recurrence_knn_md20,0.912-0.048
blood_transfusion_knn_md5,0.806-0.111
blood_transfusion_knn_md10,0.812-0.107
blood_transfusion_knn_md20,0.831-0.069
law_knn_md5,0.943-0.002
law_knn_md10,0.94-0.005
law_knn_md20,0.942-0.001
wiscosin_mice_md5,0.928-0.02
wiscosin_mice_md10,0.931-0.02
wiscosin_mice_md20,0.919-0.031
pima_mice_md5,0.593-0.041
pima_mice_md10,0.602-0.048
pima_mice_md20,0.577-0.041
indian_liver_mice_md5,0.811-0.043
indian_liver_mice_md10,0.801-0.036
indian_liver_mice_md20,0.81-0.03
parkinsons_mice_md5,0.862-0.029
parkinsons_mice_md10,0.878-0.021
parkinsons_mice_md20,0.862-0.069
mammographic_masses_mice_md5,0.812-0.019
mammographic_masses_mice_md10,0.808-0.029
mammographic_masses_mice_md20,0.812-0.018
thoracic_surgery_mice_md5,0.0-0.0
thoracic_surgery_mice_md10,0.0-0.0
thoracic_surgery_mice_md20,0.0-0.0
diabetic_retionapaty_mice_md5,0.659-0.036
diabetic_retionapaty_mice_md10,0.651-0.017
diabetic_retionapaty_mice_md20,0.635-0.038
thyroid_recurrence_mice_md5,0.794-0.176
thyroid_recurrence_mice_md10,0.796-0.169
thyroid_recurrence_mice_md20,0.898-0.068
blood_transfusion_mice_md5,0.831-0.066
blood_transfusion_mice_md10,0.85-0.03
blood_transfusion_mice_md20,0.856-0.022
law_mice_md5,0.943-0.001
law_mice_md10,0.943-0.001
law_mice_md20,0.943-0.001
wiscosin_gain_md5,0.909-0.023
wiscosin_gain_md10,0.862-0.025
wiscosin_gain_md20,0.855-0.031
pima_gain_md5,0.569-0.054
pima_gain_md10,0.52-0.053
pima_gain_md20,0.493-0.028
indian_liver_gain_md5,0.828-0.012
indian_liver_gain_md10,0.815-0.027
indian_liver_gain_md20,0.825-0.013
parkinsons_gain_md5,0.866-0.043
parkinsons_gain_md10,0.818-0.09
parkinsons_gain_md20,0.84-0.067
mammographic_masses_gain_md5,0.798-0.016
mammographic_masses_gain_md10,0.786-0.023
mammographic_masses_gain_md20,0.765-0.048
thoracic_surgery_gain_md5,0.0-0.0
thoracic_surgery_gain_md10,0.0-0.0
thoracic_surgery_gain_md20,0.0-0.0
diabetic_retionapaty_gain_md5,0.653-0.042
diabetic_retionapaty_gain_md10,0.634-0.032
diabetic_retionapaty_gain_md20,0.62-0.022
thyroid_recurrence_gain_md5,0.88-0.062
thyroid_recurrence_gain_md10,0.856-0.083
thyroid_recurrence_gain_md20,0.794-0.09
blood_transfusion_gain_md5,0.866-0.006
blood_transfusion_gain_md10,0.854-0.015
blood_transfusion_gain_md20,0.862-0.005
law_gain_md5,0.932-0.019
law_gain_md10,0.942-0.001
law_gain_md20,0.941-0.0
wiscosin_pmivae_md5,0.0-0.0
wiscosin_pmivae_md10,0.088-0.177
wiscosin_pmivae_md20,0.119-0.215
pima_pmivae_md5,0.0-0.0
pima_pmivae_md10,0.025-0.049
pima_pmivae_md20,0.104-0.208
indian_liver_pmivae_md5,0.834-0.001
indian_liver_pmivae_md10,0.834-0.001
indian_liver_pmivae_md20,0.828-0.012
parkinsons_pmivae_md5,0.86-0.008
parkinsons_pmivae_md10,0.86-0.008
parkinsons_pmivae_md20,0.704-0.244
mammographic_masses_pmivae_md5,0.392-0.32
mammographic_masses_pmivae_md10,0.365-0.248
mammographic_masses_pmivae_md20,0.036-0.052
thoracic_surgery_pmivae_md5,0.0-0.0
thoracic_surgery_pmivae_md10,0.0-0.0
thoracic_surgery_pmivae_md20,0.0-0.0
diabetic_retionapaty_pmivae_md5,0.425-0.31
diabetic_retionapaty_pmivae_md10,0.467-0.289
diabetic_retionapaty_pmivae_md20,0.557-0.27
thyroid_recurrence_pmivae_md5,0.0-0.0
thyroid_recurrence_pmivae_md10,0.089-0.178
thyroid_recurrence_pmivae_md20,0.032-0.064
blood_transfusion_pmivae_md5,0.865-0.002
blood_transfusion_pmivae_md10,0.745-0.239
blood_transfusion_pmivae_md20,0.865-0.002
law_pmivae_md5,0.942-0.0
law_pmivae_md10,0.942-0.0
law_pmivae_md20,0.942-0.0
wiscosin_missForest_md5,0.919-0.036
wiscosin_missForest_md10,0.917-0.028
wiscosin_missForest_md20,0.9-0.045
pima_missForest_md5,0.56-0.029
pima_missForest_md10,0.592-0.027
pima_missForest_md20,0.554-0.031
indian_liver_missForest_md5,0.819-0.025
indian_liver_missForest_md10,0.804-0.055
indian_liver_missForest_md20,0.81-0.031
parkinsons_missForest_md5,0.875-0.047
parkinsons_missForest_md10,0.86-0.053
parkinsons_missForest_md20,0.85-0.038
mammographic_masses_missForest_md5,0.81-0.018
mammographic_masses_missForest_md10,0.813-0.022
mammographic_masses_missForest_md20,0.817-0.022
thoracic_surgery_missForest_md5,0.0-0.0
thoracic_surgery_missForest_md10,0.0-0.0
thoracic_surgery_missForest_md20,0.0-0.0
diabetic_retionapaty_missForest_md5,0.656-0.024
diabetic_retionapaty_missForest_md10,0.675-0.031
diabetic_retionapaty_missForest_md20,0.612-0.032
thyroid_recurrence_missForest_md5,0.755-0.168
thyroid_recurrence_missForest_md10,0.804-0.172
thyroid_recurrence_missForest_md20,0.814-0.173
blood_transfusion_missForest_md5,0.865-0.007
blood_transfusion_missForest_md10,0.786-0.154
blood_transfusion_missForest_md20,0.833-0.064
law_missForest_md5,0.944-0.002
law_missForest_md10,0.944-0.001
law_missForest_md20,0.942-0.001
